id,title,subtitle,content,html_content,release_date,solved_by_count,difficulty
468,Smooth Divisors of Binomial Coefficients,Problem 468,"
An integer is called B-smooth if none of its prime factors is greater than B.
Let SB(n) be the largest B-smooth divisor of n.
Examples:
S1(10)=1
S4(2100)=12
S17(2496144)=5712
Define F(n)=∑B=1n∑r=0nSB((nr)). Here, (nr) denotes the binomial coefficient.
Examples:
F(11)=3132
F(1111)mod1000000993=706036312
F(111111)mod1000000993=22156169
Find F(11111111)mod1000000993.
","<p>An integer is called <strong><var>B</var>-smooth</strong> if none of its prime factors is greater than $B$.</p>

<p>Let $S_B(n)$ be the largest $B$-smooth divisor of $n$.<br>
Examples:<br>
$S_1(10)=1$<br>
$S_4(2100) = 12$<br>
$S_{17}(2496144) = 5712$</p>
<p>Define $\displaystyle F(n)=\sum_{B=1}^n \sum_{r=0}^n S_B(\binom n r)$. Here, $\displaystyle \binom n r$ denotes the binomial coefficient.<br>
Examples:<br>
$F(11) = 3132$<br>
$F(1111) \mod 1\,000\,000\,993 = 706036312$<br>
$F(111\,111) \mod 1\,000\,000\,993 = 22156169$</p>

<p>Find $F(11\,111\,111)  \mod 1\,000\,000\,993$.</p>




",2014-04-19T13:00:00,313,70
469,Empty Chairs,Problem 469,"

In a room N chairs are placed around a round table.
Knights enter the room one by one and choose at random an available empty chair.
To have enough elbow room the knights always leave at least one empty chair between each other.


When there aren't any suitable chairs left, the fraction C of empty chairs is determined.
We also define E(N) as the expected value of C.
We can verify that E(4)=1/2 and E(6)=5/9.


Find E(1018). Give your answer rounded to fourteen decimal places in the form 0.abcdefghijklmn.

","<p>
In a room $N$ chairs are placed around a round table.<br>
Knights enter the room one by one and choose at random an available empty chair.<br>
To have enough elbow room the knights always leave at least one empty chair between each other.
</p>
<p>
When there aren't any suitable chairs left, the fraction $C$ of empty chairs is determined.<br>
We also define $E(N)$ as the expected value of $C$.<br>
We can verify that $E(4) = 1/2$ and $E(6) = 5/9$.
</p>
<p>
Find $E(10^{18})$. Give your answer rounded to fourteen decimal places in the form 0.abcdefghijklmn.
</p>
",2014-04-26T16:00:00,831,40
470,Super Ramvok,Problem 470,"
Consider a single game of Ramvok:
Let t represent the maximum number of turns the game lasts. If t=0, then the game ends immediately. Otherwise, on each turn i, the player rolls a die. After rolling, if i<t the player can either stop the game and receive a prize equal to the value of the current roll, or discard the roll and try again next turn. If i=t, then the roll cannot be discarded and the prize must be accepted. Before the game begins, t is chosen by the player, who must then pay an up-front cost ct for some constant c. For c=0, t can be chosen to be infinite (with an up-front cost of 0). Let R(d,c) be the expected profit (i.e. net gain) that the player receives from a single game of optimally-played Ramvok, given a fair d-sided die and cost constant c. For example, R(4,0.2)=2.65. Assume that the player has sufficient funds for paying any/all up-front costs.
Now consider a game of Super Ramvok:
In Super Ramvok, the game of Ramvok is played repeatedly, but with a slight modification. After each game, the die is altered. The alteration process is as follows: The die is rolled once, and if the resulting face has its pips visible, then that face is altered to be blank instead. If the face is already blank, then it is changed back to its original value. After the alteration is made, another game of Ramvok can begin (and during such a game, at each turn, the die is rolled until a face with a value on it appears). The player knows which faces are blank and which are not at all times. The game of Super Ramvok ends once all faces of the die are blank.
Let S(d,c) be the expected profit that the player receives from an optimally-played game of Super Ramvok, given a fair d-sided die to start (with all sides visible), and cost constant c. For example, S(6,1)=208.3.
Let F(n)=∑4≤d≤n∑0≤c≤nS(d,c).
Calculate F(20), rounded to the nearest integer.
","<p>Consider a single game of Ramvok:</p>

<p>Let $t$ represent the maximum number of turns the game lasts. If $t = 0$, then the game ends immediately. Otherwise, on each turn $i$, the player rolls a die. After rolling, if $i \lt t$ the player can either stop the game and receive a prize equal to the value of the current roll, or discard the roll and try again next turn. If $i = t$, then the roll cannot be discarded and the prize must be accepted. Before the game begins, $t$ is chosen by the player, who must then pay an up-front cost $ct$ for some constant $c$. For $c = 0$, $t$ can be chosen to be infinite (with an up-front cost of $0$). Let $R(d, c)$ be the expected profit (i.e. net gain) that the player receives from a single game of optimally-played Ramvok, given a fair $d$-sided die and cost constant $c$. For example, $R(4, 0.2) = 2.65$. Assume that the player has sufficient funds for paying any/all up-front costs.</p>

<p>Now consider a game of Super Ramvok:</p>

<p>In Super Ramvok, the game of Ramvok is played repeatedly, but with a slight modification. After each game, the die is altered. The alteration process is as follows: The die is rolled once, and if the resulting face has its pips visible, then that face is altered to be blank instead. If the face is already blank, then it is changed back to its original value. After the alteration is made, another game of Ramvok can begin (and during such a game, at each turn, the die is rolled until a face with a value on it appears). The player knows which faces are blank and which are not at all times. The game of Super Ramvok ends once all faces of the die are blank.</p>

<p>Let $S(d, c)$ be the expected profit that the player receives from an optimally-played game of Super Ramvok, given a fair $d$-sided die to start (with all sides visible), and cost constant $c$. For example, $S(6, 1) = 208.3$.</p>

<p>Let $F(n) = \sum_{4 \le d \le n} \sum_{0 \le c \le n} S(d, c)$.</p>

<p>Calculate $F(20)$, rounded to the nearest integer.</p>
",2014-05-03T19:00:00,260,65
471,Triangle Inscribed in Ellipse,Problem 471,"
The triangle △ABC is inscribed in an ellipse with equation x2a2+y2b2=1, 0<2b<a, a and b integers.
Let r(a,b) be the radius of the incircle of △ABC when the incircle has center (2b,0) and A has coordinates (a2,32b).
For example, r(3,1)=12, r(6,2)=1, r(12,3)=2.


Let G(n)=∑a=3n∑b=1⌊a−12⌋r(a,b)
You are given G(10)=20.59722222, G(100)=19223.60980 (rounded to 10 significant digits).
Find G(1011).
Give your answer in scientific notation rounded to 10 significant digits. Use a lowercase e to separate mantissa and exponent.
For G(10) the answer would have been 2.059722222e1.
","<p>The triangle $\triangle ABC$ is inscribed in an ellipse with equation $\frac {x^2} {a^2} + \frac {y^2} {b^2} = 1$, $0 \lt 2b \lt a$, $a$ and $b$ integers.</p>
<p>Let $r(a, b)$ be the radius of the incircle of $\triangle ABC$ when the incircle has center $(2b, 0)$ and $A$ has coordinates $\left( \frac a 2, \frac {\sqrt 3} 2 b\right)$.</p>
<p>For example, $r(3,1)=\frac12$, $r(6,2)=1$, $r(12,3)=2$.</p>
<p align=""center""><img src=""https://projecteuler.net/resources/images/0471-triangle-inscribed-in-ellipse-1.png?1678992053"" alt=""0471-triangle-inscribed-in-ellipse-1.png""></p>
<p align=""center""><img src=""https://projecteuler.net/resources/images/0471-triangle-inscribed-in-ellipse-2.png?1678992053"" alt=""0471-triangle-inscribed-in-ellipse-2.png""></p>
<p>Let $G(n) = \sum_{a=3}^n \sum_{b=1}^{\lfloor \frac {a - 1} 2 \rfloor} r(a, b)$</p>
<p>You are given $G(10) = 20.59722222$, $G(100) = 19223.60980$ (rounded to $10$ significant digits).</p>
<p>Find $G(10^{11})$.</p>
<p>Give your answer in scientific notation rounded to $10$ significant digits. Use a lowercase e to separate mantissa and exponent.</p>
<p>For $G(10)$ the answer would have been 2.059722222e1.</p>
",2014-05-10T22:00:00,240,75
472,Comfortable Distance II,Problem 472,"
There are N seats in a row. N people come one after another to fill the seats according to the following rules:
No person sits beside another.
The first person chooses any seat.
Each subsequent person chooses the seat furthest from anyone else already seated, as long as it does not violate rule 1. If there is more than one choice satisfying this condition, then the person chooses the leftmost choice.
Note that due to rule 1, some seats will surely be left unoccupied, and the maximum number of people that can be seated is less than N (for N>1).
Here are the possible seating arrangements for N=15:

We see that if the first person chooses correctly, the 15 seats can seat up to 7 people.
We can also see that the first person has 9 choices to maximize the number of people that may be seated.
Let f(N) be the number of choices the first person has to maximize the number of occupants for N seats in a row. Thus, f(1)=1, f(15)=9, f(20)=6, and f(500)=16.
Also, ∑f(N)=83 for 1≤N≤20 and  ∑f(N)=13343 for 1≤N≤500.
Find ∑f(N) for 1≤N≤1012. Give the last 8 digits of your answer.
","<p>There are $N$ seats in a row. $N$ people come one after another to fill the seats according to the following rules:
</p><ol><li>No person sits beside another.</li>
<li>The first person chooses any seat.</li>
<li>Each subsequent person chooses the seat furthest from anyone else already seated, as long as it does not violate rule 1. If there is more than one choice satisfying this condition, then the person chooses the leftmost choice.</li>
</ol><p>Note that due to rule 1, some seats will surely be left unoccupied, and the maximum number of people that can be seated is less than $N$ (for $N \gt 1$).</p>

<p>Here are the possible seating arrangements for $N = 15$:
</p><p align=""center""><img src=""https://projecteuler.net/resources/images/0472_n15.png?1678992053"" class=""dark_img"" alt=""0472_n15.png""></p>


<p>We see that if the first person chooses correctly, the $15$ seats can seat up to $7$ people.<br>
We can also see that the first person has $9$ choices to maximize the number of people that may be seated.</p>

<p>Let $f(N)$ be the number of choices the first person has to maximize the number of occupants for $N$ seats in a row. Thus, $f(1) = 1$, $f(15) = 9$, $f(20) = 6$, and $f(500) = 16$.</p>

<p>Also, $\sum f(N) = 83$ for $1 \le N \le 20$ and  $\sum f(N) = 13343$ for $1 \le N \le 500$.</p>

<p>Find $\sum f(N)$ for $1 \le N \le 10^{12}$. Give the last $8$ digits of your answer.</p>

",2014-05-18T01:00:00,285,60
473,Phigital Number Base,Problem 473,"

Let φ be the golden ratio: φ=1+52.
Remarkably it is possible to write every positive integer as a sum of powers of φ even if we require that every power of φ is used at most once in this sum.
Even then this representation is not unique.
We can make it unique by requiring that no powers with consecutive exponents are used and that the representation is finite.
E.g: 
2=φ+φ−2 and 3=φ2+φ−2


To represent this sum of powers of φ we use a string of 0's and 1's with a point to indicate where the negative exponents start.
We call this the representation in the phigital numberbase.
So 1=1φ, 2=10.01φ, 3=100.01φ and 14=100100.001001φ. 
The strings representing 1, 2 and 14 in the phigital number base are palindromic, while the string representing 3 is not. (the phigital point is not the middle character).


The sum of the positive integers not exceeding 1000 whose phigital representation is palindromic is 4345.


Find the sum of the positive integers not exceeding 1010 whose phigital representation is palindromic.
","<p>
Let $\varphi$ be the golden ratio: $\varphi=\frac{1+\sqrt{5}}{2}.$<br>
Remarkably it is possible to write every positive integer as a sum of powers of $\varphi$ even if we require that every power of $\varphi$ is used at most once in this sum.<br>
Even then this representation is not unique.<br>
We can make it unique by requiring that no powers with consecutive exponents are used and that the representation is finite.<br>
E.g: 
$2=\varphi+\varphi^{-2}$ and $3=\varphi^{2}+\varphi^{-2}$
</p>
<p>
To represent this sum of powers of $\varphi$ we use a string of 0's and 1's with a point to indicate where the negative exponents start.<br>
We call this the representation in the <b>phigital numberbase</b>.<br>
So $1=1_{\varphi}$, $2=10.01_{\varphi}$, $3=100.01_{\varphi}$ and $14=100100.001001_{\varphi}$. <br>
The strings representing $1$, $2$ and $14$ in the phigital number base are palindromic, while the string representing $3$ is not.<br> (the phigital point is not the middle character).
</p>
<p>
The sum of the positive integers not exceeding $1000$ whose phigital representation is palindromic is $4345$.
</p>
<p>
Find the sum of the positive integers not exceeding $10^{10}$ whose phigital representation is palindromic.</p>
",2014-05-25T04:00:00,806,35
474,Last Digits of Divisors,Problem 474,"

For a positive integer n and digits d, we define F(n,d) as the number of the divisors of n whose last digits equal d.
For example, F(84,4)=3. Among the divisors of 84 (1,2,3,4,6,7,12,14,21,28,42,84), three of them (4,14,84) have the last digit 4.


We can also verify that F(12!,12)=11 and F(50!,123)=17888.


Find F(106!,65432) modulo (1016+61).

","<p>
For a positive integer $n$ and digits $d$, we define $F(n, d)$ as the number of the divisors of $n$ whose last digits equal $d$.<br>
For example, $F(84, 4) = 3$. Among the divisors of $84$ ($1, 2, 3, 4, 6, 7, 12, 14, 21, 28, 42, 84$), three of them ($4, 14, 84$) have the last digit $4$.
</p>
<p>
We can also verify that $F(12!, 12) = 11$ and $F(50!, 123) = 17888$.
</p>
<p>
Find $F(10^6!, 65432)$ modulo ($10^{16} + 61$).
</p>
",2014-06-01T07:00:00,471,50
475,Music Festival,Problem 475,"
12n musicians participate at a music festival. On the first day, they form 3n quartets and practice all day.
It is a disaster. At the end of the day, all musicians decide they will never again agree to play with any member of their quartet.
On the second day, they form 4n trios, with every musician avoiding any previous quartet partners.
Let f(12n) be the number of ways to organize the trios amongst the 12n musicians.
You are given f(12)=576 and f(24)mod1000000007=509089824.
Find f(600)mod1000000007.
","<p>$12n$ musicians participate at a music festival. On the first day, they form $3n$ quartets and practice all day.</p>
<p>It is a disaster. At the end of the day, all musicians decide they will never again agree to play with any member of their quartet.</p>
<p>On the second day, they form $4n$ trios, with every musician avoiding any previous quartet partners.</p>

<p>Let $f(12n)$ be the number of ways to organize the trios amongst the $12n$ musicians.</p>
<p>You are given $f(12) = 576$ and $f(24) \bmod 1\,000\,000\,007 = 509089824$.</p>

<p>Find $f(600) \bmod 1\,000\,000\,007$.</p>

",2014-06-08T10:00:00,498,50
476,Circle Packing II,Problem 476,"
Let R(a,b,c) be the maximum area covered by three non-overlapping circles inside a triangle with edge lengths a, b and c.
Let S(n) be the average value of R(a,b,c) over all integer triplets (a,b,c) such that 1≤a≤b≤c<a+b≤n.
You are given S(2)=R(1,1,1)≈0.31998, S(5)≈1.25899.
Find S(1803) rounded to 5 decimal places behind the decimal point.
","<p>Let $R(a, b, c)$ be the maximum area covered by three non-overlapping circles inside a triangle with edge lengths $a$, $b$ and $c$.</p>
<p>Let $S(n)$ be the average value of $R(a, b, c)$ over all integer triplets $(a, b, c)$ such that $1 \le a \le b \le c \lt a + b \le n$.</p>
<p>You are given $S(2) = R(1, 1, 1) \approx 0.31998$, $S(5) \approx 1.25899$.</p>
<p>Find $S(1803)$ rounded to $5$ decimal places behind the decimal point.</p>
",2014-06-14T13:00:00,455,45
477,Number Sequence Game,Problem 477,"
The number sequence game starts with a sequence S of N numbers written on a line.
Two players alternate turns. The players on their respective turns must select and remove either the first or the last number remaining in the sequence.
A player's own score is (determined by) the sum of all the numbers that player has taken. Each player attempts to maximize their own sum.
If N=4 and S={1,2,10,3}, then each player maximizes their own score as follows:
Player 1: removes the first number (1)
Player 2: removes the last number from the remaining sequence (3)
Player 1: removes the last number from the remaining sequence (10)
Player 2: removes the remaining number (2)
Player 1 score is 1+10=11.
Let F(N) be the score of player 1 if both players follow the optimal strategy for the sequence S={s1,s2,…,sN} defined as:
s1=0
si+1=(si2+45) modulo 1000000007
The sequence begins with S={0,45,2070,4284945,753524550,478107844,894218625,…}.
You are given F(2)=45, F(4)=4284990, F(100)=26365463243, F(104)=2495838522951.
Find F(108).
","<p>The number sequence game starts with a sequence $S$ of $N$ numbers written on a line.</p>
<p>Two players alternate turns. The players on their respective turns must select and remove either the first or the last number remaining in the sequence.</p>
<p>A player's own score is (determined by) the sum of all the numbers that player has taken. Each player attempts to maximize their own sum.</p>
If $N = 4$ and $S = \{1, 2, 10, 3\}$, then each player maximizes their own score as follows:
<ul><li>Player 1: removes the first number ($1$)</li>
<li>Player 2: removes the last number from the remaining sequence ($3$)</li>
<li>Player 1: removes the last number from the remaining sequence ($10$)</li>
<li>Player 2: removes the remaining number ($2$)</li>
</ul><p>Player 1 score is $1 + 10 = 11$.</p>
<p>Let $F(N)$ be the score of player 1 if both players follow the optimal strategy for the sequence $S = \{s_1, s_2, \dots, s_N\}$ defined as:</p>
<ul><li>$s_1 = 0$</li>
<li>$s_{i + 1} = (s_i^2 + 45)$ modulo $1\,000\,000\,007$</li>
</ul><p>The sequence begins with $S=\{0, 45, 2070, 4284945, 753524550, 478107844, 894218625, \dots\}$.</p>
<p>You are given $F(2)=45$, $F(4)=4284990$, $F(100)=26365463243$, $F(10^4)=2495838522951$.</p>
<p>Find $F(10^8)$.</p>
",2014-08-23T16:00:00,289,65
478,Mixtures,Problem 478,"
Let us consider mixtures of three substances: A, B and C. A mixture can be described by a ratio of the amounts of A, B, and C in it, i.e., (a:b:c). For example, a mixture described by the ratio (2:3:5) contains 20% A, 30% B and 50% C.
For the purposes of this problem, we cannot separate the individual components from a mixture. However, we can combine different amounts of different mixtures to form mixtures with new ratios.
For example, say we have three mixtures with ratios (3:0:2), (3:6:11) and (3:3:4). By mixing 10 units of the first, 20 units of the second and 30 units of the third, we get a new mixture with ratio (6:5:9), since:
(10⋅35 + 20⋅320+30⋅310:10⋅05+20⋅620+30⋅310:10⋅25+20⋅1120+30⋅410)=(18:15:27)=(6:5:9)

However, with the same three mixtures, it is impossible to form the ratio (3:2:1), since the amount of B is always less than the amount of C.
Let n be a positive integer. Suppose that for every triple of integers (a,b,c) with 0≤a,b,c≤n and gcd(a,b,c)=1, we have a mixture with ratio (a:b:c). Let M(n) be the set of all such mixtures.
For example, M(2) contains the 19 mixtures with the following ratios:
{(0:0:1),(0:1:0),(0:1:1),(0:1:2),(0:2:1),(1:0:0),(1:0:1),(1:0:2),(1:1:0),(1:1:1),(1:1:2),(1:2:0),(1:2:1),(1:2:2),(2:0:1),(2:1:0),(2:1:1),(2:1:2),(2:2:1)}.
Let E(n) be the number of subsets of M(n) which can produce the mixture with ratio (1:1:1), i.e., the mixture with equal parts A, B and C.
We can verify that E(1)=103, E(2)=520447, E(10)mod118=82608406 and E(500)mod118=13801403.
Find E(10000000)mod118.
","<p>Let us consider <b>mixtures</b> of three substances: <b>A</b>, <b>B</b> and <b>C</b>. A mixture can be described by a ratio of the amounts of <b>A</b>, <b>B</b>, and <b>C</b> in it, i.e., $(a : b : c)$. For example, a mixture described by the ratio $(2 : 3 : 5)$ contains $20\%$ <b>A</b>, $30\%$ <b>B</b> and $50\%$ <b>C</b>.</p>

<p>For the purposes of this problem, we cannot separate the individual components from a mixture. However, we can combine different amounts of different mixtures to form mixtures with new ratios.</p>

<p>For example, say we have three mixtures with ratios $(3 : 0 : 2)$, $(3: 6 : 11)$ and $(3 : 3 : 4)$. By mixing $10$ units of the first, $20$ units of the second and $30$ units of the third, we get a new mixture with ratio $(6 : 5 : 9)$, since:<br>
$(10 \cdot \tfrac 3 5$ + $20 \cdot \tfrac 3 {20} + 30 \cdot \tfrac 3 {10} : 10 \cdot \tfrac 0 5 + 20 \cdot \tfrac 6 {20} + 30 \cdot \tfrac 3 {10} : 10 \cdot \tfrac 2 5 + 20 \cdot \tfrac {11} {20} + 30 \cdot \tfrac 4 {10})
= (18 : 15 : 27) = (6 : 5 : 9)$
</p>

<p>However, with the same three mixtures, it is impossible to form the ratio $(3 : 2 : 1)$, since the amount of <b>B</b> is always less than the amount of <b>C</b>.</p>

<p>Let $n$ be a positive integer. Suppose that for every triple of integers $(a, b, c)$ with $0 \le a, b, c \le n$ and $\gcd(a, b, c) = 1$, we have a mixture with ratio $(a : b : c)$. Let $M(n)$ be the set of all such mixtures.</p>

<p>For example, $M(2)$ contains the $19$ mixtures with the following ratios:</p>
\begin{align}
\{&amp;(0 : 0 : 1), (0 : 1 : 0), (0 : 1 : 1), (0 : 1 : 2), (0 : 2 : 1),\\
&amp;(1 : 0 : 0), (1 : 0 : 1), (1 : 0 : 2), (1 : 1 : 0), (1 : 1 : 1),\\
&amp;(1 : 1 : 2), (1 : 2 : 0), (1 : 2 : 1), (1 : 2 : 2), (2 : 0 : 1),\\
&amp;(2 : 1 : 0), (2 : 1 : 1), (2 : 1 : 2), (2 : 2 : 1)\}.
\end{align}

<p>Let $E(n)$ be the number of subsets of $M(n)$ which can produce the mixture with ratio $(1 : 1 : 1)$, i.e., the mixture with equal parts <b>A</b>, <b>B</b> and <b>C</b>.<br>
We can verify that $E(1) = 103$, $E(2) = 520447$, $E(10) \bmod 11^8 = 82608406$ and $E(500) \bmod 11^8 = 13801403$.<br>
Find $E(10\,000\,000) \bmod 11^8$.</p>

",2014-08-30T19:00:00,222,100
481,Chef Showdown,Problem 481,"
A group of chefs (numbered #1, #2, etc) participate in a turn-based strategic cooking competition. On each chef's turn, he/she cooks up a dish to the best of his/her ability and gives it to a separate panel of judges for taste-testing. Let S(k) represent chef #k's skill level (which is publicly known). More specifically, S(k) is the probability that chef #k's dish will be assessed favorably by the judges (on any/all turns). If the dish receives a favorable rating, then the chef must choose one other chef to be eliminated from the competition. The last chef remaining in the competition is the winner.
The game always begins with chef #1, with the turn order iterating sequentially over the rest of the chefs still in play. Then the cycle repeats from the lowest-numbered chef. All chefs aim to optimize their chances of winning within the rules as stated, assuming that the other chefs behave in the same manner. In the event that a chef has more than one equally-optimal elimination choice, assume that the chosen chef is always the one with the next-closest turn.
Define Wn(k) as the probability that chef #k wins in a competition with n chefs. If we have S(1)=0.25, S(2)=0.5, and S(3)=1, then W3(1)=0.29375.
Going forward, we assign S(k)=Fk/Fn+1 over all 1≤k≤n, where Fk is a Fibonacci number: Fk=Fk−1+Fk−2 with base cases F1=F2=1. Then, for example, when considering a competition with n=7 chefs, we have W7(1)=0.08965042, W7(2)=0.20775702, W7(3)=0.15291406, W7(4)=0.14554098, W7(5)=0.15905291, W7(6)=0.10261412, and W7(7)=0.14247050, rounded to 8 decimal places each.
Let E(n) represent the expected number of dishes cooked in a competition with n chefs. For instance, E(7)=42.28176050.
Find E(14) rounded to 8 decimal places.
","<p>A group of chefs (numbered #$1$, #$2$, etc) participate in a turn-based strategic cooking competition. On each chef's turn, he/she cooks up a dish to the best of his/her ability and gives it to a separate panel of judges for taste-testing. Let $S(k)$ represent chef #$k$'s skill level (which is publicly known). More specifically, $S(k)$ is the probability that chef #$k$'s dish will be assessed favorably by the judges (on any/all turns). If the dish receives a favorable rating, then the chef must choose one other chef to be eliminated from the competition. The last chef remaining in the competition is the winner.</p>

<p>The game always begins with chef #$1$, with the turn order iterating sequentially over the rest of the chefs still in play. Then the cycle repeats from the lowest-numbered chef. All chefs aim to optimize their chances of winning within the rules as stated, assuming that the other chefs behave in the same manner. In the event that a chef has more than one equally-optimal elimination choice, assume that the chosen chef is always the one with the next-closest turn.</p>

<p>Define $W_n(k)$ as the probability that chef #$k$ wins in a competition with $n$ chefs. If we have $S(1) = 0.25$, $S(2) = 0.5$, and $S(3) = 1$, then $W_3(1) = 0.29375$.</p>

<p>Going forward, we assign $S(k) = F_k/F_{n+1}$ over all $1 \le k \le n$, where $F_k$ is a Fibonacci number: $F_k = F_{k-1} + F_{k-2}$ with base cases $F_1 = F_2 = 1$. Then, for example, when considering a competition with $n = 7$ chefs, we have $W_7(1) = 0.08965042$, $W_7(2) = 0.20775702$, $W_7(3) = 0.15291406$, $W_7(4) = 0.14554098$, $W_7(5) = 0.15905291$, $W_7(6) = 0.10261412$, and $W_7(7) = 0.14247050$, rounded to $8$ decimal places each.</p>

<p>Let $E(n)$ represent the expected number of dishes cooked in a competition with $n$ chefs. For instance, $E(7) = 42.28176050$.</p>

<p>Find $E(14)$ rounded to $8$ decimal places.</p>
",2014-09-21T04:00:00,281,70
482,The Incenter of a Triangle,Problem 482,"

ABC is an integer sided triangle with incenter I and perimeter p.
The segments IA, IB and IC have integral length as well. 


Let L=p+|IA|+|IB|+|IC|. 


Let S(P)=∑L for all such triangles where p≤P. For example, S(103)=3619.


Find S(107).

","<p>
$ABC$ is an integer sided triangle with incenter $I$ and perimeter $p$.<br>
The segments $IA$, $IB$ and $IC$ have integral length as well. 
</p>
<p>
Let $L = p + |IA| + |IB| + |IC|$. 
</p>
<p>
Let $S(P) = \sum L$ for all such triangles where $p \le P$. For example, $S(10^3) = 3619$.
</p>
<p>
Find $S(10^7)$.
</p>

",2014-09-28T07:00:00,249,85
483,Repeated Permutation,Problem 483,"

We define a permutation as an operation that rearranges the order of the elements {1,2,3,...,n}.
There are n! such permutations, one of which leaves the elements in their initial order.
For n=3 we have 3!=6 permutations:

P1= keep the initial order
P2= exchange the 1st and 2nd elements
P3= exchange the 1st and 3rd elements
P4= exchange the 2nd and 3rd elements
P5= rotate the elements to the right
P6= rotate the elements to the left

If we select one of these permutations, and we re-apply the same permutation repeatedly, we eventually restore the initial order.For a permutation Pi, let f(Pi) be the number of steps required to restore the initial order by applying the permutation Pi repeatedly.For n=3, we obtain:

f(P1)=1 : (1,2,3)→(1,2,3)
f(P2)=2 : (1,2,3)→(2,1,3)→(1,2,3)
f(P3)=2 : (1,2,3)→(3,2,1)→(1,2,3)
f(P4)=2 : (1,2,3)→(1,3,2)→(1,2,3)
f(P5)=3 : (1,2,3)→(3,1,2)→(2,3,1)→(1,2,3)
f(P6)=3 : (1,2,3)→(2,3,1)→(3,1,2)→(1,2,3)

Let g(n) be the average value of f2(Pi) over all permutations Pi of length n.g(3)=(12+22+22+22+32+32)/3!=31/6≈5.166666667e0g(5)=2081/120≈1.734166667e1g(20)=12422728886023769167301/2432902008176640000≈5.106136147e3


Find g(350) and write the answer in scientific notation rounded to 10 significant digits, using a lowercase e to separate mantissa and exponent, as in the examples above.

","<p>
We define a <dfn>permutation</dfn> as an operation that rearranges the order of the elements $\{1, 2, 3, ..., n\}$.
There are $n!$ such permutations, one of which leaves the elements in their initial order.
For $n = 3$ we have $3! = 6$ permutations:
</p><ul>
<li>$P_1 =$ keep the initial order</li>
<li>$P_2 =$ exchange the 1<sup>st</sup> and 2<sup>nd</sup> elements</li>
<li>$P_3 =$ exchange the 1<sup>st</sup> and 3<sup>rd</sup> elements</li>
<li>$P_4 =$ exchange the 2<sup>nd</sup> and 3<sup>rd</sup> elements</li>
<li>$P_5 =$ rotate the elements to the right</li>
<li>$P_6 =$ rotate the elements to the left</li></ul>

<p>
If we select one of these permutations, and we re-apply the <u>same</u> permutation repeatedly, we eventually restore the initial order.<br>For a permutation $P_i$, let $f(P_i)$ be the number of steps required to restore the initial order by applying the permutation $P_i$ repeatedly.<br>For $n = 3$, we obtain:</p>
<ul>
<li>$f(P_1) = 1$ : $(1,2,3) \to (1,2,3)$</li>
<li>$f(P_2) = 2$ : $(1,2,3) \to (2,1,3) \to (1,2,3)$</li>
<li>$f(P_3) = 2$ : $(1,2,3) \to (3,2,1) \to (1,2,3)$</li>
<li>$f(P_4) = 2$ : $(1,2,3) \to (1,3,2) \to (1,2,3)$</li>
<li>$f(P_5) = 3$ : $(1,2,3) \to (3,1,2) \to (2,3,1) \to (1,2,3)$</li>
<li>$f(P_6) = 3$ : $(1,2,3) \to (2,3,1) \to (3,1,2) \to (1,2,3)$</li></ul>

<p>
Let $g(n)$ be the average value of $f^2(P_i)$ over all permutations $P_i$ of length $n$.<br>$g(3) = (1^2 + 2^2 + 2^2 + 2^2 + 3^2 + 3^2)/3! = 31/6 \approx 5.166666667\mathrm e0$<br>$g(5) = 2081/120 \approx 1.734166667\mathrm e1$<br>$g(20) = 12422728886023769167301/2432902008176640000 \approx 5.106136147\mathrm e3$
</p>
<p>
Find $g(350)$ and write the answer in scientific notation rounded to $10$ significant digits, using a lowercase e to separate mantissa and exponent, as in the examples above.
</p>
",2014-10-05T10:00:00,298,100
484,Arithmetic Derivative,Problem 484,"
The arithmetic derivative is defined by
p′=1 for any prime p
(ab)′=a′b+ab′ for all integers a,b (Leibniz rule)
For example, 20′=24.
Find ∑gcd(k,k′) for 1<k≤5×1015.
Note: gcd(x,y) denotes the greatest common divisor of x and y.
","<p>The <strong>arithmetic derivative</strong> is defined by</p>
<ul><li>$p^\prime = 1$ for any prime $p$</li>
<li>$(ab)^\prime = a^\prime b + ab^\prime$ for all integers $a, b$ (Leibniz rule)</li>
</ul><p>For example, $20^\prime = 24$.</p>

<p>Find $\sum \operatorname{\mathbf{gcd}}(k,k^\prime)$ for $1 \lt k \le 5 \times 10^{15}$.</p>

<p><span style=""font-size:smaller;"">Note: $\operatorname{\mathbf{gcd}}(x,y)$ denotes the greatest common divisor of $x$ and $y$.</span></p>

",2014-10-11T13:00:00,451,100
